,0,1,2
0,56.0,195.0,155.0
1,57.0,202.0,157.0
2,58.0,208.0,158.0
3,59.0,214.0,159.0
4,60.0,219.0,159.0
5,61.0,225.0,159.0
6,62.0,230.0,158.0
7,63.0,236.0,158.0
8,64.0,241.0,156.0
9,65.0,247.0,156.0
10,66.0,252.0,154.0
11,67.0,258.0,154.0
12,68.0,265.0,154.0
13,69.0,271.0,153.0
14,70.0,277.0,154.0
15,71.0,283.0,153.0
16,72.0,289.0,153.0
17,73.0,296.0,152.0
18,74.0,302.0,152.0
19,75.0,308.0,152.0
20,76.0,315.0,152.0
21,77.0,321.0,152.0
22,78.0,327.0,152.0
23,79.0,334.0,152.0
24,80.0,340.0,153.0
25,81.0,346.0,153.0
26,82.0,352.0,153.0
27,83.0,358.0,154.0
28,84.0,364.0,154.0
29,85.0,370.0,155.0
30,86.0,376.0,156.0
31,87.0,381.0,156.0
32,88.0,387.0,157.0
33,89.0,393.0,158.0
34,90.0,398.0,159.0
35,91.0,404.0,159.0
36,92.0,410.0,160.0
37,93.0,415.0,161.0
38,94.0,421.0,161.0
39,95.0,426.0,161.0
40,96.0,432.0,162.0
41,97.0,437.0,162.0
42,98.0,442.0,163.0
43,99.0,447.0,162.0
44,100.0,453.0,162.0
45,101.0,459.0,162.0
46,102.0,465.0,162.0
47,103.0,471.0,162.0
48,104.0,476.0,162.0
49,105.0,482.0,162.0
50,106.0,487.0,162.0
51,107.0,493.0,161.0
52,108.0,499.0,160.0
53,109.0,504.0,159.0
54,110.0,509.0,158.0
55,111.0,515.0,157.0
56,112.0,520.0,156.0
57,113.0,524.0,155.0
58,114.0,528.0,154.0
59,115.0,532.0,152.0
60,116.0,537.0,150.0
61,117.0,541.0,149.0
62,118.0,545.0,147.0
63,119.0,550.0,146.0
64,120.0,555.0,146.0
65,121.0,560.0,144.0
66,122.0,565.0,143.0
67,123.0,569.0,143.0
68,124.0,573.0,143.0
69,125.0,577.0,142.0
70,126.0,583.0,141.0
71,127.0,589.0,137.0
72,128.0,595.0,134.0
73,129.0,602.0,128.0
74,130.0,609.0,125.0
75,131.0,616.0,122.0
76,132.0,623.0,120.0
77,133.0,630.0,120.0
78,134.0,637.0,117.0
79,135.0,643.0,116.0
80,136.0,650.0,115.0
81,137.0,655.0,115.0
82,138.0,661.0,115.0
83,139.0,668.0,112.0
84,140.0,670.0,113.0
85,141.0,673.0,114.0
86,142.0,674.0,116.0
87,143.0,673.0,118.0
88,144.0,670.0,120.0
89,145.0,667.0,121.0
90,146.0,665.0,121.0
91,147.0,664.0,120.0
92,148.0,666.0,118.0
93,149.0,671.0,116.0
94,150.0,676.0,114.0
95,151.0,681.0,112.0
96,152.0,684.0,110.0
97,153.0,688.0,109.0
98,154.0,692.0,107.0
99,155.0,696.0,105.0
100,156.0,703.0,103.0
101,157.0,708.0,102.0
102,158.0,713.0,101.0
103,159.0,718.0,100.0
104,160.0,722.0,101.0
105,161.0,725.0,102.0
106,162.0,729.0,102.0
107,163.0,733.0,101.0
108,164.0,739.0,100.0
109,165.0,745.0,98.0
110,166.0,750.0,96.0
111,167.0,756.0,94.0
112,168.0,760.0,91.0
113,169.0,764.0,88.0
114,170.0,767.0,84.0
115,171.0,771.0,81.0
116,172.0,773.0,76.0
117,173.0,777.0,72.0
118,174.0,781.0,69.0
119,175.0,785.0,67.0
120,176.0,789.0,64.0
121,177.0,794.0,62.0
122,178.0,799.0,61.0
123,179.0,805.0,60.0
124,180.0,810.0,59.0
125,181.0,816.0,58.0
126,182.0,822.0,58.0
127,183.0,829.0,57.0
128,184.0,836.0,57.0
129,185.0,841.0,57.0
130,186.0,847.0,57.0
131,187.0,853.0,57.0
132,188.0,858.0,57.0
133,189.0,864.0,57.0
134,190.0,869.0,58.0
135,191.0,875.0,58.0
136,192.0,880.0,59.0
137,193.0,885.0,59.0
138,194.0,890.0,60.0
139,195.0,895.0,60.0
140,196.0,900.0,61.0
141,197.0,905.0,62.0
142,198.0,910.0,62.0
143,199.0,914.0,63.0
144,200.0,919.0,64.0
145,201.0,924.0,64.0
146,202.0,929.0,65.0
147,203.0,935.0,65.0
148,204.0,941.0,66.0
149,205.0,947.0,66.0
150,206.0,953.0,66.0
151,207.0,959.0,66.0
152,208.0,965.0,66.0
153,209.0,972.0,66.0
154,210.0,978.0,66.0
155,211.0,984.0,66.0
156,212.0,990.0,66.0
157,213.0,996.0,65.0
158,214.0,1002.0,65.0
159,215.0,1009.0,65.0
160,216.0,1015.0,64.0
161,217.0,1021.0,64.0
162,218.0,1027.0,63.0
163,219.0,1034.0,63.0
164,220.0,1040.0,62.0
165,221.0,1046.0,61.0
166,222.0,1051.0,60.0
167,223.0,1057.0,59.0
168,224.0,1064.0,58.0
169,225.0,1070.0,57.0
170,226.0,1077.0,55.0
171,227.0,1083.0,54.0
172,228.0,1090.0,53.0
173,229.0,1097.0,52.0
174,230.0,1104.0,51.0
175,231.0,1110.0,50.0
176,232.0,1117.0,48.0
