,0,1,2
0,51.0,115.0,105.0
1,52.0,125.0,104.0
2,53.0,133.0,104.0
3,54.0,140.0,104.0
4,55.0,152.0,104.0
5,56.0,156.0,103.0
6,57.0,162.0,104.0
7,58.0,169.0,104.0
8,59.0,174.0,105.0
9,60.0,180.0,105.0
10,61.0,185.0,106.0
11,62.0,191.0,107.0
12,63.0,196.0,107.0
13,64.0,202.0,108.0
14,65.0,208.0,109.0
15,66.0,213.0,109.0
16,67.0,220.0,110.0
17,68.0,226.0,111.0
18,69.0,232.0,112.0
19,70.0,238.0,112.0
20,71.0,245.0,113.0
21,72.0,251.0,112.0
22,73.0,258.0,112.0
23,74.0,264.0,112.0
24,75.0,271.0,111.0
25,76.0,277.0,111.0
26,77.0,283.0,111.0
27,78.0,289.0,110.0
28,79.0,294.0,109.0
29,80.0,300.0,110.0
30,81.0,306.0,111.0
31,82.0,313.0,112.0
32,83.0,320.0,114.0
33,84.0,326.0,115.0
34,85.0,333.0,116.0
35,86.0,340.0,116.0
36,87.0,346.0,117.0
37,88.0,353.0,117.0
38,89.0,359.0,118.0
39,90.0,366.0,119.0
40,91.0,374.0,120.0
41,92.0,380.0,120.0
42,93.0,387.0,121.0
43,94.0,393.0,123.0
44,95.0,400.0,124.0
45,96.0,407.0,126.0
46,97.0,413.0,128.0
47,98.0,419.0,129.0
48,99.0,425.0,131.0
49,100.0,431.0,133.0
50,101.0,437.0,134.0
51,102.0,443.0,136.0
52,103.0,450.0,138.0
53,104.0,457.0,139.0
54,105.0,463.0,139.0
55,106.0,470.0,139.0
56,107.0,477.0,138.0
57,108.0,485.0,137.0
58,109.0,491.0,134.0
59,110.0,495.0,130.0
60,111.0,500.0,126.0
61,112.0,506.0,124.0
62,113.0,511.0,122.0
63,114.0,516.0,121.0
64,115.0,520.0,120.0
65,116.0,525.0,119.0
66,117.0,530.0,120.0
67,118.0,535.0,118.0
68,119.0,541.0,119.0
69,120.0,548.0,118.0
70,121.0,553.0,118.0
71,122.0,560.0,116.0
72,123.0,565.0,115.0
73,124.0,572.0,114.0
74,125.0,577.0,111.0
75,126.0,584.0,109.0
76,127.0,582.0,104.0
77,128.0,598.0,108.0
78,129.0,604.0,106.0
79,130.0,611.0,104.0
80,131.0,621.0,101.0
81,132.0,629.0,99.0
82,133.0,637.0,97.0
83,134.0,643.0,94.0
84,135.0,648.0,91.0
85,136.0,654.0,91.0
86,137.0,658.0,89.0
87,138.0,665.0,87.0
88,139.0,667.0,85.0
89,140.0,670.0,83.0
90,141.0,674.0,83.0
91,142.0,676.0,84.0
92,143.0,677.0,84.0
93,144.0,678.0,84.0
94,145.0,681.0,85.0
95,146.0,685.0,88.0
96,147.0,686.0,88.0
97,148.0,690.0,90.0
98,149.0,695.0,92.0
99,150.0,698.0,93.0
100,151.0,701.0,94.0
101,152.0,705.0,95.0
102,153.0,708.0,95.0
103,154.0,714.0,97.0
104,155.0,719.0,98.0
105,156.0,725.0,98.0
106,157.0,733.0,99.0
107,158.0,736.0,98.0
108,159.0,741.0,98.0
109,160.0,742.0,97.0
110,161.0,742.0,96.0
111,162.0,747.0,96.0
112,163.0,752.0,95.0
113,164.0,755.0,93.0
114,165.0,757.0,93.0
115,166.0,760.0,92.0
116,167.0,761.0,92.0
117,168.0,761.0,93.0
118,169.0,762.0,94.0
119,170.0,764.0,96.0
120,171.0,768.0,98.0
121,172.0,771.0,100.0
122,173.0,776.0,102.0
123,174.0,783.0,103.0
124,175.0,790.0,104.0
125,176.0,798.0,106.0
126,177.0,802.0,107.0
127,178.0,810.0,106.0
128,179.0,809.0,108.0
129,180.0,815.0,108.0
130,181.0,822.0,108.0
131,182.0,826.0,108.0
132,183.0,832.0,108.0
133,184.0,842.0,108.0
134,185.0,849.0,108.0
135,186.0,850.0,108.0
136,187.0,863.0,109.0
137,188.0,867.0,109.0
138,189.0,873.0,110.0
139,190.0,880.0,110.0
140,191.0,886.0,110.0
141,192.0,891.0,109.0
142,193.0,896.0,108.0
143,194.0,902.0,109.0
144,195.0,907.0,109.0
145,196.0,912.0,108.0
146,197.0,922.0,109.0
147,198.0,930.0,110.0
148,199.0,937.0,110.0
149,200.0,946.0,111.0
150,201.0,953.0,111.0
151,202.0,958.0,110.0
152,203.0,965.0,110.0
153,204.0,971.0,110.0
154,205.0,979.0,110.0
155,206.0,985.0,110.0
156,207.0,991.0,109.0
157,208.0,998.0,110.0
158,209.0,1004.0,109.0
159,210.0,1009.0,109.0
160,211.0,1016.0,109.0
161,212.0,1022.0,109.0
162,213.0,1027.0,109.0
163,214.0,1033.0,109.0
164,215.0,1039.0,109.0
165,216.0,1045.0,109.0
166,217.0,1052.0,109.0
167,218.0,1058.0,109.0
168,219.0,1064.0,108.0
169,220.0,1071.0,109.0
170,221.0,1077.0,109.0
171,222.0,1083.0,109.0
172,223.0,1091.0,109.0
173,224.0,1098.0,109.0
174,225.0,1107.0,109.0
175,226.0,1115.0,110.0
176,227.0,1123.0,110.0
