x,y,z,c1_x,c1_y,c2_x,c2_y
0,10,0,388,662,174,661
90,10,0,821,708,704,630
90,90,0,837,202,708,116
0,90,0,402,202,175,95
0,10,70,99,690,411,710
90,10,70,551,743,983,670
90,90,70,564,178,985,93
0,90,70,110,181,408,66


